Year,Wages,House_Price,CPI_All,CPI_Food,CPI_Housing,CPI_Transport,CPI_Education,Real_Wages,Real_House_Price,House_Price_to_Wage_Ratio,Real_House_Price_to_Real_Wage_Ratio,Monthly_Wages,Yearly_Wages,House_Price_to_Monthly_Wage_Ratio,House_Price_to_Yearly_Wage_Ratio,Housing_Inflation,Food_Inflation,Transport_Inflation,Education_Inflation,Overall_Inflation,Cost_Pressure_Indicator,Wage_Index,House_Price_Index,Real_Wage_Index,Real_House_Price_Index,CPI_All_Index,CPI_Food_Index,CPI_Housing_Index,CPI_Transport_Index,CPI_Education_Index
2008,479.1,176852.69,84.7,83.5,80.1,83.7,55.1,565.64,208798.92,369.14,369.14,2076.1,24913.2,85.19,7.1,8.68,9.01,5.55,11.76,3.55,8.75,143.06,251.52,120.26,211.43,118.96,125.94,151.99,130.78,201.83
2009,488.5,161148.03,86.6,88.1,83.5,84.4,59.3,564.09,186083.18,329.88,329.88,2116.83,25402.0,76.13,6.34,4.24,5.51,0.84,7.62,2.24,4.55,145.86,229.19,119.93,188.43,121.63,132.88,158.44,131.88,217.22
2010,498.5,170364.51,89.4,91.1,83.8,91.5,62.4,557.61,190564.33,341.75,341.75,2160.17,25922.0,78.87,6.57,0.36,3.41,8.41,5.23,3.23,4.35,148.85,242.29,118.55,192.97,125.56,137.41,159.01,142.97,228.57
2011,500.7,154654.33,93.4,96.0,88.4,98.6,65.7,536.08,165582.8,308.88,308.88,2169.7,26036.4,71.28,5.94,5.49,5.38,7.76,5.29,4.47,5.98,149.51,219.95,113.97,167.67,131.18,144.8,167.74,154.06,240.66
2012,506.1,155269.33,96.1,99.1,92.8,100.9,71.4,526.64,161570.59,306.8,306.8,2193.1,26317.2,70.8,5.9,4.98,3.23,2.33,8.68,2.89,4.8,151.12,220.83,111.96,163.61,134.97,149.47,176.09,157.66,261.54
2013,517.4,159261.5,98.5,102.9,96.6,101.9,83.6,525.28,161686.8,307.81,307.81,2242.07,26904.8,71.03,5.92,4.09,3.83,0.99,17.09,2.5,6.5,154.49,226.5,111.67,163.73,138.34,155.2,183.3,159.22,306.23
2014,518.3,172047.67,100.0,102.7,99.5,102.2,92.2,518.3,172047.67,331.95,331.95,2245.97,26951.6,76.6,6.38,3.0,-0.19,0.29,10.29,1.52,3.35,154.76,244.69,110.19,174.22,140.45,154.9,188.8,159.69,337.73
2015,527.1,182291.17,100.0,100.0,100.0,100.0,100.0,527.1,182291.17,345.84,345.84,2284.1,27409.2,79.81,6.65,0.5,-2.63,-2.15,8.46,0.0,1.05,157.39,259.26,112.06,184.59,140.45,150.83,189.75,156.25,366.3
2016,538.6,195035.42,100.7,97.6,100.2,100.5,104.7,534.86,193679.66,362.12,362.12,2333.93,28007.2,83.57,6.96,0.2,-2.4,0.5,4.7,0.7,0.75,160.82,277.38,113.71,196.12,141.43,147.21,190.13,157.03,383.52
2017,550.0,203950.33,103.4,99.8,102.0,105.1,108.7,531.91,197244.04,370.82,370.82,2383.33,28600.0,85.57,7.13,1.8,2.25,4.58,3.82,2.68,3.11,164.23,290.06,113.09,199.73,145.22,150.53,193.55,164.22,398.17
2018,568.3,210354.0,105.9,101.8,104.4,109.8,111.8,536.64,198634.56,370.15,370.15,2462.63,29551.6,85.42,7.12,2.35,2.0,4.47,2.85,2.42,2.92,169.69,299.17,114.09,201.14,148.74,153.54,198.1,171.56,409.52
2019,585.2,212433.75,107.8,103.2,106.2,112.0,115.2,542.86,197062.85,363.01,363.01,2535.87,30430.4,83.77,6.98,1.72,1.38,2.0,3.04,1.79,2.04,174.74,302.13,115.41,199.55,151.4,155.66,201.52,175.0,421.98
2020,585.7,218521.5,108.7,103.9,105.8,112.4,118.2,538.82,201031.74,373.09,373.09,2538.03,30456.4,86.1,7.17,-0.38,0.68,0.36,2.6,0.83,0.82,174.89,310.78,114.55,203.57,152.67,156.71,200.76,175.62,432.97
2021,610.7,236312.5,111.6,104.2,108.3,120.4,121.5,547.22,211749.55,386.95,386.95,2646.37,31756.4,89.3,7.44,2.36,0.29,7.12,2.79,2.67,3.14,182.35,336.09,116.34,214.42,156.74,157.16,205.5,188.12,445.05
2022,641.8,258236.17,121.7,115.5,128.3,134.2,126.5,527.36,212190.77,402.36,402.36,2781.13,33373.6,92.85,7.74,18.47,10.84,11.46,4.12,9.05,11.22,191.64,367.27,112.12,214.87,170.93,174.21,243.45,209.69,463.37
2023,687.0,258956.17,130.5,132.3,140.7,134.5,131.0,526.44,198433.84,376.94,376.94,2977.0,35724.0,86.99,7.25,9.66,14.55,0.22,3.56,7.23,7.0,205.14,368.29,111.92,200.94,183.29,199.55,266.98,210.16,479.85
2024,728.3,260532.25,133.9,135.8,138.8,134.2,137.1,543.91,194572.26,357.73,357.73,3155.97,37871.6,82.55,6.88,-1.35,2.65,-0.22,4.66,2.61,1.43,217.47,370.53,115.64,197.03,188.06,204.83,263.38,209.69,502.2
2025,766.6,268191.25,138.4,141.5,146.4,137.7,147.4,553.9,193779.8,349.85,349.85,3321.93,39863.2,80.73,6.73,5.48,4.2,2.61,7.51,3.36,4.95,228.9,381.42,117.76,196.22,194.38,213.42,277.8,215.16,539.93
